sample_id	srr	tissue	channel	aws
Trachea.P8_15	SRR6835871	Trachea	10X_P8_15	https://sra-pub-src-1.s3.amazonaws.com/SRR6835871/10X_P8_15.bam.1
Trachea.P8_14	SRR6835870	Trachea	10X_P8_14	https://sra-pub-src-1.s3.amazonaws.com/SRR6835870/10X_P8_14.bam.1
Lung.P8_13	SRR6835869	Lung	10X_P8_13	https://sra-pub-src-1.s3.amazonaws.com/SRR6835869/10X_P8_13.bam.1
Lung.P8_12	SRR6835868	Lung	10X_P8_12	https://sra-pub-src-1.s3.amazonaws.com/SRR6835868/10X_P8_12.bam.1
Limb_Muscle.P7_15	SRR6835867	Limb_Muscle	10X_P7_15	https://sra-pub-src-1.s3.amazonaws.com/SRR6835867/10X_P7_15.bam.1
Limb_Muscle.P7_14	SRR6835866	Limb_Muscle	10X_P7_14	https://sra-pub-src-1.s3.amazonaws.com/SRR6835866/10X_P7_14.bam.1
Mammary_Gland.P7_13	SRR6835865	Mammary_Gland	10X_P7_13	https://sra-pub-src-1.s3.amazonaws.com/SRR6835865/10X_P7_13.bam.1
Mammary_Gland.P7_12	SRR6835864	Mammary_Gland	10X_P7_12	https://sra-pub-src-1.s3.amazonaws.com/SRR6835864/10X_P7_12.bam.1
Thymus.P7_11	SRR6835863	Thymus	10X_P7_11	https://sra-pub-src-1.s3.amazonaws.com/SRR6835863/10X_P7_11.bam.1
Tongue.P7_10	SRR6835862	Tongue	10X_P7_10	https://sra-pub-src-1.s3.amazonaws.com/SRR6835862/10X_P7_10.bam.1
Lung.P7_9	SRR6835861	Lung	10X_P7_9	https://sra-pub-src-1.s3.amazonaws.com/SRR6835861/10X_P7_9.bam.1
Lung.P7_8	SRR6835860	Lung	10X_P7_8	https://sra-pub-src-1.s3.amazonaws.com/SRR6835860/10X_P7_8.bam.1
Bladder.P7_7	SRR6835859	Bladder	10X_P7_7	https://sra-pub-src-1.s3.amazonaws.com/SRR6835859/10X_P7_7.bam.1
Spleen.P7_6	SRR6835858	Spleen	10X_P7_6	https://sra-pub-src-1.s3.amazonaws.com/SRR6835858/10X_P7_6.bam.1
Kidney.P7_5	SRR6835857	Kidney	10X_P7_5	https://sra-pub-src-1.s3.amazonaws.com/SRR6835857/10X_P7_5.bam.1
Heart_and_Aorta.P7_4	SRR6835856	Heart_and_Aorta	10X_P7_4	https://sra-pub-src-1.s3.amazonaws.com/SRR6835856/10X_P7_4.bam.1
Marrow.P7_3	SRR6835855	Marrow	10X_P7_3	https://sra-pub-src-1.s3.amazonaws.com/SRR6835855/10X_P7_3.bam.1
Marrow.P7_2	SRR6835854	Marrow	10X_P7_2	https://sra-pub-src-1.s3.amazonaws.com/SRR6835854/10X_P7_2.bam.1
Liver.P7_1	SRR6835853	Liver	10X_P7_1	https://sra-pub-src-1.s3.amazonaws.com/SRR6835853/10X_P7_1.bam.1
Liver.P7_0	SRR6835852	Liver	10X_P7_0	https://sra-pub-src-1.s3.amazonaws.com/SRR6835852/10X_P7_0.bam.1
Spleen.P4_7	SRR6835851	Spleen	10X_P4_7	https://sra-pub-src-1.s3.amazonaws.com/SRR6835851/10X_P4_7.bam.1
Kidney.P4_6	SRR6835850	Kidney	10X_P4_6	https://sra-pub-src-1.s3.amazonaws.com/SRR6835850/10X_P4_6.bam.1
Kidney.P4_5	SRR6835849	Kidney	10X_P4_5	https://sra-pub-src-1.s3.amazonaws.com/SRR6835849/10X_P4_5.bam.1
Bladder.P4_4	SRR6835848	Bladder	10X_P4_4	https://sra-pub-src-1.s3.amazonaws.com/SRR6835848/10X_P4_4.bam.1
Bladder.P4_3	SRR6835847	Bladder	10X_P4_3	https://sra-pub-src-1.s3.amazonaws.com/SRR6835847/10X_P4_3.bam.1
Liver.P4_2	SRR6835846	Liver	10X_P4_2	https://sra-pub-src-1.s3.amazonaws.com/SRR6835846/10X_P4_2.bam.1
Tongue.P4_1	SRR6835845	Tongue	10X_P4_1	https://sra-pub-src-1.s3.amazonaws.com/SRR6835845/10X_P4_1.bam.1
Tongue.P4_0	SRR6835844	Tongue	10X_P4_0	https://sra-pub-src-1.s3.amazonaws.com/SRR6835844/10X_P4_0.bam.1
